"Date","Pool","Currency","Wallet","DailyEarnings","StartTime","StartValue","EndTime","EndValue","Balance","Pending","Unpaid","Payout"
"2023-09-06","MiningDutch","GUN","UselessGuru","0","00:04:41","10.8156864","02:25:19","10.8156864","10.8156864","0","10.8156864","0"
"2023-09-06","MiningDutch","IQ","UselessGuru","0","00:04:41","2.58782551","02:25:19","2.58782551","2.58782551","0","2.58782551","0"
"2023-09-06","MiningDutch","NEOX","UselessGuru","0","00:04:41","0.57254822","02:25:19","0.57254822","0.57254822","0","0.57254822","0"
"2023-09-06","MiningDutch","NYX","UselessGuru","0","00:04:41","0.09979641","02:25:19","0.09979641","0.09979641","0","0.09979641","0"
"2023-09-06","MiningDutch","PAPRY","UselessGuru","0","00:04:41","0.22477687","02:25:19","0.22477687","0.22477687","0","0.22477687","0"
"2023-09-06","MiningDutch","UFO","UselessGuru","0","00:04:41","0.20887727","02:25:19","0.20887727","0.20887727","0","0.20887727","0"
"2023-09-06","MiningDutch","VHH","UselessGuru","0","00:04:41","6317.71316063","02:25:19","6317.71316063","6317.71316063","0","6317.71316063","0"
"2023-09-06","MiningDutch","VTC","UselessGuru","0","00:04:41","0.08558942","02:25:19","0.08558942","0.08558942","0","0.08558942","0"
"2023-09-06","MiningDutch","YEC","UselessGuru","0","00:04:41","0.10712654","02:25:19","0.10712654","0.10712654","0","0.10712654","0"
"2023-09-06","MiningDutch","YTN","UselessGuru","0","00:04:41","0.47039829","02:25:19","0.47039829","0.47039829","0","0.47039829","0"
"2023-09-06","MiningDutch","ZCL","UselessGuru","0","00:04:41","0.02185477","02:25:19","0.02185477","0.02185477","0","0.02185477","0"
"2023-09-06","NiceHash External","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","00:04:41","0.00057724","02:25:19","0.00057724","0.00057684","4E-07","0.00057724","0"
"2023-09-06","NiceHash Internal","BTC","33hZYX8iFg5zm9E3geqrNgeP6TMzszZk5R","0","00:04:41","0.00730754","02:25:19","0.00730754","0.00730754","0","0.00730754","0"
"2023-09-06","ProHashing","ETH","UselessGuru","0","00:04:41","1.1152209623217067E-05","02:25:19","1.1152209623217067E-05","1.1152209623217067E-05","0","1.1152209623217067E-05","0"
"2023-09-06","ProHashing","RTM","UselessGuru","0","00:04:41","0.0048188439854162","02:25:19","0.0048188439854162","0.0048188439854162","0","0.0048188439854162","0"
"2023-09-06","ProHashing","XMR","UselessGuru","0","00:04:41","2.563445299E-07","02:25:19","2.563445299E-07","2.563445299E-07","0","2.563445299E-07","0"
